name,type,eircode,address,lat,lng,email,phone,contact1,contact2,contact3,link,sourceId
"Ballinspittle Health Centre, ",HSE,P17AF53,"Ballycatten, Ballinspittle, Co. Cork, ",,,,,,,,,
"Ballincollig Health Centre, ",HSE,P31D832,"Innishmore, Ballincollig, Co. Cork, ",,,,,,,,,
Ballyclough,HSE,P51E793,"Ballyclough Community Hall, Ballyclough, Co. Cork, ",,,,,,,,,
"Ballydesmond Health Centre, ",HSE,P51FW66,"Ballydesmond, Co. Cork, ",,,,,,,,,
"Allihies Health Centre, ",HSE,P75EK70,"Cluin, Allihies, Co. Cork, ",51.64226,-10.0455,,,,,,,
Adrigole Health Centre,HSE,P75YE24,"Cappanaparka East, Adrigole, Co. Cork, ",51.68932,-9.73529,,,,,,,
Ballydehob Health Centre ,HSE,P81KF97,"The Parade, Ballydehob, Co. Cork, ",,,,,,,,,
Asdee Health Centre,HSE,V31A257,"Asdee Community Centre, Asdee, Co. Kerry, ",52.5525,-9.56095,,,,,,,
"Ballylongford Health Centre, ",HSE,V31VX90,"Rusheen, Ballylongford, Co. Kerry, ",,,,,,,,,
"Ardfert Health Centre,",HSE,V92EKX9,"Farranwilliam, Ardfert, Co. Kerry, ",52.3254,-9.77971,,,,,,,
"Annascaul Health Centre, ",HSE,V92KA03,"Church Avenue, Annascaul, Co. Kerry, ",52.15215,-10.05287,,,,,,,
Ballyduff Health Centre - Kerry,HSE,V92WCV5,"Benmore, Ballyduff, Co. Kerry, ",,,,,,,,,
"Ballyheigue Health Centre, ",HSE,V92WY61,"Harty's Terrace, Ballyheigue, Co. Kerry, ",,,,,,,,,
Abbeydorney Health Centre,HSE,V92YK5X,"Abbeydorney Parish Community Hall, Abbeydorney, Co. Kerry, ",52.34533,-9.69213,,,,,,,
Clonakilty,HSE,,"Primary Care Centre Hospital Grounds, Scartagh, Clonakilty, Co. Cork.",51.63048,-8.87638,,,,,,,
Milltown,HSE,,"Bridge Street, Milltown, Co. Kerry",52.14374,-9.71419,,,,,,,
Dillons Cross,HSE,,"Harrington Square, Ballyhooly Road, Cork.",51.90827,-8.45689,,,,,,,
Rockchapel,HSE,,"Community Hall, Rockchapel, Co. Cork.",52.28826,-9.1477,,,,,,,
Grattan Street,HSE,,"Grattan Street, Cork.",51.89897,-8.47927,,,,,,,
Blackpool,HSE,,"Blackpool Community Centre, Great William O'Brien Street, Blackpool, Cork.",51.91094,-8.47438,,,,,,,
Macroom,HSE,,"Middle Square, Macroom, Co. Cork.",51.90703,-8.96698,,,,,,,
Rylane,HSE,,"Knocknagoun, Rylane, Co. Cork.",51.98378,-8.84123,,,,,,,
Cois Abhann Residential Centre,HSE,,"Greencloyne, Youghal, Co. Cork",51.96195,-7.85969,,,,,,,
Blarney,HSE,,"The Square, Blarney, Co. Cork.",51.93295,-8.56873,,,,,,,
Gurranebraher,HSE,,"St. Mary's Orthopaedic Hospital, Gurranebraher, Co. Cork.",51.90505,-8.49734,,,,,,,
Farranree,HSE,,"Farranree Community Centre, Popham's Road, Farranree, Cork.",51.91476,-8.48072,,,,,,,
Mayfield,HSE,,"Old Youghal Road, Cork.",51.9118,-8.4418,,,,,,,
Riverstown,HSE,,"Riverstown Village, Glanmire, Cork.",51.9286,-8.39578,,,,,,,
Cobh,HSE,,"Bishop's Street, Cobh, Co. Cork.",51.85342,-8.29459,,,,,,,
Ballymacoda,HSE,,"Ballymacoda, Youghal, Co. Cork.",51.89228,-7.94289,,,,,,,
Youghal,HSE,,"The Lodge Youghal Community Centre, Cork Hill, Youghal, Co. Cork.",51.95706,-7.85941,,,,,,,
Castlemartyr,HSE,,"Main Street, Castlemartyr, Co. Cork.",51.91188,-8.05513,,,,,,,
Kilmurray,HSE,,"Kilmurray, Macroom, Co. Cork.",51.84251,-8.88174,,,,,,,
Cobh,HSE,,"Canon O'Leary Place, Cobh, Co. Cork.",51.85265,-8.29522,,,,,,,
Killbrittain,HSE,,"Killbrittain, Co. Cork.",51.67346,-8.69227,,,,,,,
Carrigtwohill,HSE,,"Main Street, Carrigtwohill, Co. Cork.",51.90933,-8.25729,,,,,,,
Cloyne,HSE,,"Canon Lynch Place, Chapel Street, Cloyne, Co. Cork.",51.86253,-8.12294,,,,,,,
Fairhill,HSE,,"27 Bridevalley View, Fairhill, Cork.",51.90933,-8.25729,,,,,,,
Eason's Hill,HSE,,"Eason's Hill, Cork.",51.90382,-8.47575,,,,,,,
The Glen,HSE,,"The Glen Resource and Leisure Centre, The Glen, Cork.",51.91178,-8.45792,,,,,,,
Carrignavar,HSE,,"Carrignavar, Co. Cork.",51.98826,-8.47808,,,,,,,
Lotamore,HSE,,"20 Lotamore Park, Mayfield, Cork.",51.91488,-8.41904,,,,,,,
Baltimore,HSE,,"Baltimore, Co. Cork.",51.48331,-9.37326,,,,,,,
Bere Island,HSE,,"Rerrin, Bere Island, Co. Cork.",51.64039,-9.85947,,,,,,,
Tralee,HSE,,"Kerry Community Services, Rathass, Co. Kerry",52.26727,-9.68525,,,,,,,
Drimoleague,HSE,,"East End, Drimoleague, Co. Cork.",51.6618,-9.25868,,,,,,,
Drinagh,HSE,,"Drinagh, Co. Cork.",51.64649,-9.1578,,,,,,,
Dunmanway,HSE,,"Main Street, Dunmanway, Co. Cork",51.72316,-9.1101,,,,,,,
Eyeries,HSE,,"Eyeries, Co. Cork.",51.69505,-9.95694,,,,,,,
Glengarriff,HSE,,"Glengarriff, Co. Cork.",51.74998,-9.55038,,,,,,,
Goleen,HSE,,"Church Road, Goleen, Co. Cork.",51.49473,-9.71274,,,,,,,
Inchigeela,HSE,,"Inchigeela, Co. Cork.",51.84194,-9.12717,,,,,,,
Johnstown,HSE,,"Johnstown, Macroom, Co. Cork.",51.8097,-9.08411,,,,,,,
Kealkil,HSE,,"Kealkil, Co. Cork.",51.74865,-9.38631,,,,,,,
Kilcrohane,HSE,,"Kilcrohane, Co. Cork",51.58096,-9.70384,,,,,,,
Leap,HSE,,"Main Street, Leap, Co. Cork.",51.58133,-9.14049,,,,,,,
Moyderwell,HSE,,"Tralee Health Centre, Moyderwell, Tralee, Co. Kerry",52.26727,-9.69964,,,,,,,
Schull,HSE,,"Hospital Grounds, Schull, Co. Cork.",51.52186,-9.54599,,,,,,,
Union Hall,HSE,,"Main Street, Union Hall, Co. Cork.",51.55829,-9.14126,,,,,,,
Ballynoe,HSE,,"Ballynoe, Co. Cork.",52.0587,-8.09687,,,,,,,
Buttevant,HSE,,"Mercy Day Care Centre, Buttevant, Co. Cork.",52.22921,-8.66984,,,,,,,
Castletownroche,HSE,,"Community Hall, Castletownroche, Co. Cork.",52.17167,-8.46548,,,,,,,
Newtownbarry,HSE,,"Newtownbarry, Charleville, Co. Cork.",52.3573,-8.67902,,,,,,,
FRC Broad Street,HSE,,"Family Resource Centre, Broad Street, Charleville, Co. Cork.",52.35479,-8.68178,,,,,,,
Dromina,HSE,,"Community Centre, Dromina, Co. Cork.",52.31403,-8.80177,,,,,,,
Chapel Hill,HSE,,"Chapel Hill, Fermoy, Co. Cork.",52.1368,-8.28032,,,,,,,
Blackwater,HSE,,"Blackwater Day Centre, Fermoy, Co. Cork.",52.13831,-8.27799,,,,,,,
Freemount,HSE,,"Community Centre, Freemount, Co. Cork.",52.27756,-8.88421,,,,,,,
Glantane,HSE,,"Community Hall, Glantane, Co. Cork.",52.10506,-8.74837,,,,,,,
Glanworth,HSE,,"Main Street, Glanworth, Co. Cork.",52.18647,-8.35691,,,,,,,
Kanturk,HSE,,"Community Hospital, Hospital Hill, Kanturk, Co. Cork.",52.17609,-8.91461,,,,,,,
Kildorrery,HSE,,"Limerick Road, Kildorrery, Co. Cork.",52.24703,-8.42815,,,,,,,
Killavullen,HSE,,"Dispensary, Killavullen, Co. Cork.",52.14514,-8.51757,,,,,,,
Kilworth,HSE,,"Main Street, Kilworth, Co. Cork.",52.17564,-8.24477,,,,,,,
Kiskeam,HSE,,"Community Centre, Kiskeam, Co. Cork.",52.17659,-9.1549,,,,,,,
Bank Place,HSE,,"134 Bank Place, Mallow, Co. Cork.",52.1367,-8.644,,,,,,,
Gouldshill,HSE,,"Gouldshill House, Mallow, Co. Cork.",52.11931,-8.66111,,,,,,,
Newberry,HSE,,"Newberry Hospital, Kilvealaton East, Mallow, Co. Cork.",52.12543,-8.68486,,,,,,,
Norwood,HSE,,"Norwood Day Centre, Mallow, Co. Cork.",52.13789,-8.6505,,,,,,,
St. Joseph's,HSE,,"St. Joseph's Road, Mallow, Co. Cork.",52.1357,-8.64003,,,,,,,
Comm Hosp,HSE,,"Community Hospital, Millstreet, Co. Cork.",52.05778,-9.07794,,,,,,,
Claragh Road,HSE,,"Claragh Road, Millstreet, Co.Cork.",52.05879,-9.06745,,,,,,,
Drishane,HSE,,"Drishane Castle, Millstreet, Co. Cork.",52.07763,-9.04782,,,,,,,
Wellmount,HSE,,"Wellmount Park, Finglas, Dublin 11.",53.38533,-6.31161,,,,,,,
Tearmon Ui Chaoimh,HSE,,"Tearmon Ui Chaoimh Day Centre, Mitchelstown, Co. Cork.",52.26487,-8.27251,,,,,,,
Newmarket,HSE,,"Charleville Road, Newmarket, Co. Cork.",52.21631,-8.99973,,,,,,,
Newtown,HSE,,"Newtown, Co. Cork.",51.68602,-9.44669,,,,,,,
Church Road,HSE,,"Church Road, Ardfert, Co. Kerry.",52.32683,-9.78226,,,,,,,
Ballybunion,HSE,,"C/o Dr. Jim O' Sullivan, Ballybunion, Co. Kerry",52.51202,-9.6737,,,,,,,
Brosna,HSE,,"The Health Centre, Brosna, Co. Kerry",52.31284,-9.27136,,,,,,,
Caherciveen,HSE,,"East End, Caherciveen, Co. Kerry.",51.94878,-10.22006,,,,,,,
Camp,HSE,,"Camp Cross, Tralee, Co. Kerry",52.22092,-9.91145,,,,,,,
Tonachy House,HSE,,"Killarney Rd., Castleisland, Co. Kerry",52.23009,-9.46604,,,,,,,
Castlemaine,HSE,,"Community Centre, Castlemaine, Co. Kerry",52.17255,-9.70048,,,,,,,
Causeway,HSE,,"Marian Trc., Causeway, Co. Kerry",52.41139,-9.7332,,,,,,,
Farranfore,HSE,,"Farranfore, Co. Kerry",52.17187,-9.55021,,,,,,,
Glenbeigh,HSE,,"Kilnabrack Lower, Glenbeigh Co. Kerry",52.05506,-9.94468,,,,,,,
Gneeveguilla,HSE,,"Gneeveguilla, Co. Kerry",52.11586,-9.27193,,,,,,,
Kielduff,HSE,,"Community Centre, Rathanny, Co. Kerry",52.29542,-9.60574,,,,,,,
Kilgarven,HSE,,"Kilgarven, Co. Kerry",51.90362,-9.44222,,,,,,,
Park Road,HSE,,"Park Rd., Killarney, Co. Kerry",52.0607,-9.48577,,,,,,,
Knocknagoshel,HSE,,"Community Centre, Knocknagoshel, Co. Kerry",52.33061,-9.38487,,,,,,,
Listowel,HSE,,"Grounds of Listowel Hospital, Co. Kerry",52.44824,-9.49762,,,,,,,
Listowel OPD,HSE,,"Hospital Grounds, Listowel, Co. Kerry",52.44824,-9.49762,,,,,,,
Lixnaw,HSE,,"C/o Dr. Fahys Surgery, Lixnaw, Co. Kerry",52.40895,-9.61746,,,,,,,
Moyvane,HSE,,"Community Centre, Moyvane, Co. Kerry",52.50149,-9.36919,,,,,,,
Portmagee,HSE,,"Portmagee Village, Co. Kerry",51.8858,-10.36526,,,,,,,
Rathmore,HSE,,"Bleak House, Rathmore, Co. Kerry",52.07655,-9.25018,,,,,,,
Scariff,HSE,,"Emlagh, Waterville, Co. Kerry",51.85277,-10.1717,,,,,,,
Sneem,HSE,,"South Square, Sneem, Co. Kerry",51.83792,-9.89952,,,,,,,
Tarbert,HSE,,"Tarbert, Co. Kerry",52.57403,-9.38117,,,,,,,
Waterville,HSE,,"Main Street, Waterville, Co. Kerry",51.82496,-10.17166,,,,,,,
Churchtown,HSE,,"Main Street, Mallow, Co. Cork",52.27158,-8.73162,,,,,,,
St. Frances,HSE,,"Rathealy Road, Fermoy, Co. Cork",52.14183,-8.27015,,,,,,,
Liscarroll,HSE,,"Main Street, Co. Cork",52.26,-8.80633,,,,,,,
Meelin,HSE,,"Knockduff Upper, Newmarket, Co. Cork",52.24923,-9.03369,,,,,,,
Milford,HSE,,Co. Cork,52.34106,-8.85666,,,,,,,
Rathcormac,HSE,,"Main Street, Co. Cork",52.07764,-8.28356,,,,,,,
Caherdaniel,HSE,,"An Post, Post Office, Co. Kerry",51.76964,-10.10083,,,,,,,
Bantry,HSE,,"The Quays, Bantry, Co. Cork.",51.6801,-9.45108,,,,,,,
Innishannon,HSE,,"Innishannon Medical Centre, Main Street, Innishannon, Co. Cork",51.76468,-8.65631,,,,,,,
Tallow,HSE,,"Conna, Co. Cork.",52.09334,-8.10742,,,,,,,
Castletownbere,HSE,,"Bank Place, Castletownbere, Co. Cork.",51.65026,-9.91315,,,,,,,
Heatherside,HSE,,"Heatherside Hospital, Doneraile, Co. Cork.",52.27008,-8.59807,,,,,,,
St. Anne's Road,HSE,,"St. Anne's Road, Killarney, Co. Kerry",52.06275,-9.50806,,,,,,,
Milford,HSE,,"Kyle House, Kyle, Co. Cork",52.3251,-8.86116,,,,,,,
Castlelyons,HSE,,"1 Main Street, Co. Cork",52.0894,-8.23539,,,,,,,
Boherbue,HSE,,"The Corner House, 18 Main Street, Co. Cork",52.159,-9.06967,,,,,,,
College Road,HSE,,"Castleisland, Co. Kerry",52.23431,-9.4575,,,,,,,
Mizen Primary Care Centre,HSE,,"Ardmanagh Road, Schull, Co. Cork",51.528,-9.54879,,,,,,,
Ionad SlÃ¡inte Daingean UÃ­ ChÃºis,HSE,,"Hospital Grounds, Dingle, Co. Kerry",52.14472,-10.27499,,,,,,,
Grosvenor Court,HSE,,"Killarney, Co. Kerry",52.06142,-9.50962,,,,,,,
Bandon,HSE,,"GULLY, CO. CORK",51.73687,-8.75066,,,,,,,
Churchfield,HSE,,"103/105 Knockfree Avenue, Fair Hill, Churchfield, Cork.",51.90727,-8.49072,,,,,,,
Kinsale,HSE,,"HSE, HEALTH CENTRE, MARKET LANE, CO. CORK",51.7062,-8.52529,,,,,,,
Mallow,HSE,,"12/14 Fair Street Lower, Mallow, Co. Cork.",52.13736,-8.64394,,,,,,,
Mallow,HSE,,"20 West End, Mallow, Co. Cork.",52.13783,-8.64838,,,,,,,
Mallow,HSE,,"31/32 Fair Street Upper, Mallow, Co. Cork.",52.13838,-8.64361,,,,,,,
Mallow,HSE,,"9 West End, Mallow, Co. Cork.",52.13787,-8.64878,,,,,,,
Doneraile,HSE,,"Main Street, Doneraile, Co. Cork.",52.21683,-8.58477,,,,,,,
Mount Alvernia,HSE,,"Mount Alvernia Hospital, Mallow, Co. Cork.",52.12435,-8.68462,,,,,,,
Mallow,HSE,,"O'Brien Street, Mallow, Co. Cork.",52.13661,-8.6425,,,,,,,
Douglas ,HSE,,"Community Centre, Douglas, Cork",51.8734,-8.43686,,,,,,,
Mallow,HSE,,"Solas Nua Residential Home, Mallow, Co. Cork.",52.14505,-8.6413,,,,,,,
Castlegregory,HSE,,"Dr. Sills Surgery, Castlegregory, Co. Kerry",52.25659,-10.02156,,,,,,,
Youghal Health Centre,HSE,,"Unit 4a, Millennium Court, Foxhole, Youghal, Co. Cork",51.97141,-7.86388,,,,,,,
Killorglin,HSE,,"HSE, Health Centre, 2 Mill Road, Co. Kerry",52.10826,-9.78782,,,,,,,
Owenacurra Mental Health,HSE,,"HSE, Owenacurra Centre, The Green, Midleton, Co. Cork",51.91742,-8.17458,,,,,,,
Midleton ,HSE,,"Health Centre, HSE, Midleton Community Hospital, Midleton, Co. Cork",51.91776,-8.1728,,,,,,,
